"STATISTIC","Statistic Label","C02076V03371","Age Group","C02199V02655","Sex","TLIST(A1)","CensusYear","UNIT","VALUE"
"CD211","Enumerated Population","565","65 - 69 years","1","Male","1986","1986","Number","61080"
"CD211","Enumerated Population","565","65 - 69 years","1","Male","1991","1991","Number","60956"
"CD211","Enumerated Population","565","65 - 69 years","1","Male","1996","1996","Number","60256"
"CD211","Enumerated Population","565","65 - 69 years","1","Male","2002","2002","Number","65290"
"CD211","Enumerated Population","565","65 - 69 years","1","Male","2006","2006","Number","70895"
"CD211","Enumerated Population","565","65 - 69 years","1","Male","2011","2011","Number","86298"
"CD211","Enumerated Population","565","65 - 69 years","2","Female","1926","1926","Number","49713"
"CD211","Enumerated Population","565","65 - 69 years","2","Female","1936","1936","Number","52945"
"CD211","Enumerated Population","565","65 - 69 years","2","Female","1946","1946","Number","56064"
"CD211","Enumerated Population","565","65 - 69 years","2","Female","1951","1951","Number","53403"
"CD211","Enumerated Population","565","65 - 69 years","2","Female","1961","1961","Number","52347"
"CD211","Enumerated Population","565","65 - 69 years","2","Female","1966","1966","Number","59180"
"CD211","Enumerated Population","565","65 - 69 years","2","Female","1971","1971","Number","57258"
"CD211","Enumerated Population","565","65 - 69 years","2","Female","1979","1979","Number","68793"
"CD211","Enumerated Population","565","65 - 69 years","2","Female","1981","1981","Number","69613"
"CD211","Enumerated Population","565","65 - 69 years","2","Female","1986","1986","Number","68418"
"CD211","Enumerated Population","565","65 - 69 years","2","Female","1991","1991","Number","69796"
"CD211","Enumerated Population","565","65 - 69 years","2","Female","1996","1996","Number","66553"
"CD211","Enumerated Population","565","65 - 69 years","2","Female","2002","2002","Number","68184"
"CD211","Enumerated Population","565","65 - 69 years","2","Female","2006","2006","Number","72501"
"CD211","Enumerated Population","565","65 - 69 years","2","Female","2011","2011","Number","87340"
"CD211","Enumerated Population","580","70 - 74 years","-","Both sexes","1926","1926","Number","82246"
"CD211","Enumerated Population","580","70 - 74 years","-","Both sexes","1936","1936","Number","85940"
"CD211","Enumerated Population","580","70 - 74 years","-","Both sexes","1946","1946","Number","99910"
"CD211","Enumerated Population","580","70 - 74 years","-","Both sexes","1951","1951","Number","100116"
"CD211","Enumerated Population","580","70 - 74 years","-","Both sexes","1961","1961","Number","92790"
"CD211","Enumerated Population","580","70 - 74 years","-","Both sexes","1966","1966","Number","90099"
"CD211","Enumerated Population","580","70 - 74 years","-","Both sexes","1971","1971","Number","98986"
"CD211","Enumerated Population","580","70 - 74 years","-","Both sexes","1979","1979","Number","98284"
"CD211","Enumerated Population","580","70 - 74 years","-","Both sexes","1981","1981","Number","103138"
"CD211","Enumerated Population","580","70 - 74 years","-","Both sexes","1986","1986","Number","110996"
"CD211","Enumerated Population","580","70 - 74 years","-","Both sexes","1991","1991","Number","109325"
"CD211","Enumerated Population","580","70 - 74 years","-","Both sexes","1996","1996","Number","112542"
"CD211","Enumerated Population","580","70 - 74 years","-","Both sexes","2002","2002","Number","112129"
"CD211","Enumerated Population","580","70 - 74 years","-","Both sexes","2006","2006","Number","119152"
"CD211","Enumerated Population","580","70 - 74 years","-","Both sexes","2011","2011","Number","131190"
"CD211","Enumerated Population","580","70 - 74 years","1","Male","1926","1926","Number","37485"
"CD211","Enumerated Population","580","70 - 74 years","1","Male","1936","1936","Number","40822"
"CD211","Enumerated Population","580","70 - 74 years","1","Male","1946","1946","Number","49924"
"CD211","Enumerated Population","580","70 - 74 years","1","Male","1951","1951","Number","49121"
"CD211","Enumerated Population","580","70 - 74 years","1","Male","1961","1961","Number","44110"
"CD211","Enumerated Population","580","70 - 74 years","1","Male","1966","1966","Number","42243"
"CD211","Enumerated Population","580","70 - 74 years","1","Male","1971","1971","Number","44593"
"CD211","Enumerated Population","580","70 - 74 years","1","Male","1979","1979","Number","45802"
"CD211","Enumerated Population","580","70 - 74 years","1","Male","1981","1981","Number","48380"
"CD211","Enumerated Population","580","70 - 74 years","1","Male","1986","1986","Number","50881"
"CD211","Enumerated Population","580","70 - 74 years","1","Male","1991","1991","Number","49183"
"CD211","Enumerated Population","580","70 - 74 years","1","Male","1996","1996","Number","50124"
"CD211","Enumerated Population","580","70 - 74 years","1","Male","2002","2002","Number","51719"
"CD211","Enumerated Population","580","70 - 74 years","1","Male","2006","2006","Number","56540"
"CD211","Enumerated Population","580","70 - 74 years","1","Male","2011","2011","Number","63476"
"CD211","Enumerated Population","580","70 - 74 years","2","Female","1926","1926","Number","44761"
"CD211","Enumerated Population","580","70 - 74 years","2","Female","1936","1936","Number","45118"
"CD211","Enumerated Population","580","70 - 74 years","2","Female","1946","1946","Number","49986"
"CD211","Enumerated Population","580","70 - 74 years","2","Female","1951","1951","Number","50995"
"CD211","Enumerated Population","580","70 - 74 years","2","Female","1961","1961","Number","48680"
"CD211","Enumerated Population","580","70 - 74 years","2","Female","1966","1966","Number","47856"
"CD211","Enumerated Population","580","70 - 74 years","2","Female","1971","1971","Number","54393"
"CD211","Enumerated Population","580","70 - 74 years","2","Female","1979","1979","Number","52482"
"CD211","Enumerated Population","580","70 - 74 years","2","Female","1981","1981","Number","54758"
"CD211","Enumerated Population","580","70 - 74 years","2","Female","1986","1986","Number","60115"
"CD211","Enumerated Population","580","70 - 74 years","2","Female","1991","1991","Number","60142"
"CD211","Enumerated Population","580","70 - 74 years","2","Female","1996","1996","Number","62418"
"CD211","Enumerated Population","580","70 - 74 years","2","Female","2002","2002","Number","60410"
"CD211","Enumerated Population","580","70 - 74 years","2","Female","2006","2006","Number","62612"
"CD211","Enumerated Population","580","70 - 74 years","2","Female","2011","2011","Number","67714"
"CD211","Enumerated Population","595","75 - 79 years","-","Both sexes","1926","1926","Number","45967"
"CD211","Enumerated Population","595","75 - 79 years","-","Both sexes","1936","1936","Number","52988"
"CD211","Enumerated Population","595","75 - 79 years","-","Both sexes","1946","1946","Number","60502"
"CD211","Enumerated Population","595","75 - 79 years","-","Both sexes","1951","1951","Number","64555"
"CD211","Enumerated Population","595","75 - 79 years","-","Both sexes","1961","1961","Number","63210"
"CD211","Enumerated Population","595","75 - 79 years","-","Both sexes","1966","1966","Number","62801"
"CD211","Enumerated Population","595","75 - 79 years","-","Both sexes","1971","1971","Number","61775"
"CD211","Enumerated Population","595","75 - 79 years","-","Both sexes","1979","1979","Number","68856"
"CD211","Enumerated Population","595","75 - 79 years","-","Both sexes","1981","1981","Number","68451"
"CD211","Enumerated Population","595","75 - 79 years","-","Both sexes","1986","1986","Number","75519"
"CD211","Enumerated Population","595","75 - 79 years","-","Both sexes","1991","1991","Number","84082"
"CD211","Enumerated Population","595","75 - 79 years","-","Both sexes","1996","1996","Number","84097"
"CD211","Enumerated Population","595","75 - 79 years","-","Both sexes","2002","2002","Number","89815"
"CD211","Enumerated Population","595","75 - 79 years","-","Both sexes","2006","2006","Number","92466"
"CD211","Enumerated Population","595","75 - 79 years","-","Both sexes","2011","2011","Number","102036"
"CD211","Enumerated Population","595","75 - 79 years","1","Male","1926","1926","Number","20926"
"CD211","Enumerated Population","595","75 - 79 years","1","Male","1936","1936","Number","24670"
"CD211","Enumerated Population","595","75 - 79 years","1","Male","1946","1946","Number","29735"
"CD211","Enumerated Population","595","75 - 79 years","1","Male","1951","1951","Number","31642"
"CD211","Enumerated Population","595","75 - 79 years","1","Male","1961","1961","Number","29694"
"CD211","Enumerated Population","595","75 - 79 years","1","Male","1966","1966","Number","28744"
"CD211","Enumerated Population","595","75 - 79 years","1","Male","1971","1971","Number","27774"
"CD211","Enumerated Population","595","75 - 79 years","1","Male","1979","1979","Number","29140"
"CD211","Enumerated Population","595","75 - 79 years","1","Male","1981","1981","Number","29172"
"CD211","Enumerated Population","595","75 - 79 years","1","Male","1986","1986","Number","32635"
"CD211","Enumerated Population","595","75 - 79 years","1","Male","1991","1991","Number","35713"
"CD211","Enumerated Population","595","75 - 79 years","1","Male","1996","1996","Number","35228"
"CD211","Enumerated Population","595","75 - 79 years","1","Male","2002","2002","Number","37377"
"CD211","Enumerated Population","595","75 - 79 years","1","Male","2006","2006","Number","40121"
"CD211","Enumerated Population","595","75 - 79 years","1","Male","2011","2011","Number","46631"
"CD211","Enumerated Population","595","75 - 79 years","2","Female","1926","1926","Number","25041"
"CD211","Enumerated Population","595","75 - 79 years","2","Female","1936","1936","Number","28318"
"CD211","Enumerated Population","595","75 - 79 years","2","Female","1946","1946","Number","30767"
"CD211","Enumerated Population","595","75 - 79 years","2","Female","1951","1951","Number","32913"
"CD211","Enumerated Population","595","75 - 79 years","2","Female","1961","1961","Number","33516"
"CD211","Enumerated Population","595","75 - 79 years","2","Female","1966","1966","Number","34057"
"CD211","Enumerated Population","595","75 - 79 years","2","Female","1971","1971","Number","34001"
"CD211","Enumerated Population","595","75 - 79 years","2","Female","1979","1979","Number","39716"
"CD211","Enumerated Population","595","75 - 79 years","2","Female","1981","1981","Number","39279"
"CD211","Enumerated Population","595","75 - 79 years","2","Female","1986","1986","Number","42884"
"CD211","Enumerated Population","595","75 - 79 years","2","Female","1991","1991","Number","48369"
"CD211","Enumerated Population","595","75 - 79 years","2","Female","1996","1996","Number","48869"
"CD211","Enumerated Population","595","75 - 79 years","2","Female","2002","2002","Number","52438"
"CD211","Enumerated Population","595","75 - 79 years","2","Female","2006","2006","Number","52345"
"CD211","Enumerated Population","595","75 - 79 years","2","Female","2011","2011","Number","55405"
"CD211","Enumerated Population","610","80 - 84 years","-","Both sexes","1926","1926","Number","27397"
"CD211","Enumerated Population","610","80 - 84 years","-","Both sexes","1936","1936","Number","23250"
"CD211","Enumerated Population","610","80 - 84 years","-","Both sexes","1946","1946","Number","26142"
"CD211","Enumerated Population","610","80 - 84 years","-","Both sexes","1951","1951","Number","30887"
"CD211","Enumerated Population","610","80 - 84 years","-","Both sexes","1961","1961","Number","37040"
"CD211","Enumerated Population","610","80 - 84 years","-","Both sexes","1966","1966","Number","35584"
"CD211","Enumerated Population","610","80 - 84 years","-","Both sexes","1971","1971","Number","36375"
"CD211","Enumerated Population","610","80 - 84 years","-","Both sexes","1979","1979","Number","37987"
"CD211","Enumerated Population","610","80 - 84 years","-","Both sexes","1981","1981","Number","40462"
"CD211","Enumerated Population","610","80 - 84 years","-","Both sexes","1986","1986","Number","42884"
"CD211","Enumerated Population","610","80 - 84 years","-","Both sexes","1991","1991","Number","49301"
"CD211","Enumerated Population","610","80 - 84 years","-","Both sexes","1996","1996","Number","55771"
"CD211","Enumerated Population","610","80 - 84 years","-","Both sexes","2002","2002","Number","58857"
"CD211","Enumerated Population","610","80 - 84 years","-","Both sexes","2006","2006","Number","64884"
"CD211","Enumerated Population","610","80 - 84 years","-","Both sexes","2011","2011","Number","70113"
"CD211","Enumerated Population","610","80 - 84 years","1","Male","1926","1926","Number","12082"
"CD211","Enumerated Population","610","80 - 84 years","1","Male","1936","1936","Number","10484"
"CD211","Enumerated Population","610","80 - 84 years","1","Male","1946","1946","Number","11933"
"CD211","Enumerated Population","610","80 - 84 years","1","Male","1951","1951","Number","14649"
"CD211","Enumerated Population","610","80 - 84 years","1","Male","1961","1961","Number","16674"
"CD211","Enumerated Population","610","80 - 84 years","1","Male","1966","1966","Number","15824"
"CD211","Enumerated Population","610","80 - 84 years","1","Male","1971","1971","Number","15663"
"CD211","Enumerated Population","610","80 - 84 years","1","Male","1979","1979","Number","14917"
"CD211","Enumerated Population","610","80 - 84 years","1","Male","1981","1981","Number","15415"
"CD211","Enumerated Population","610","80 - 84 years","1","Male","1986","1986","Number","16126"
"CD211","Enumerated Population","610","80 - 84 years","1","Male","1991","1991","Number","18965"
"CD211","Enumerated Population","610","80 - 84 years","1","Male","1996","1996","Number","21074"
"CD211","Enumerated Population","610","80 - 84 years","1","Male","2002","2002","Number","22283"
"CD211","Enumerated Population","610","80 - 84 years","1","Male","2006","2006","Number","24694"
"CD211","Enumerated Population","610","80 - 84 years","1","Male","2011","2011","Number","28423"
"CD211","Enumerated Population","610","80 - 84 years","2","Female","1926","1926","Number","15315"
"CD211","Enumerated Population","610","80 - 84 years","2","Female","1936","1936","Number","12766"
"CD211","Enumerated Population","610","80 - 84 years","2","Female","1946","1946","Number","14209"
"CD211","Enumerated Population","610","80 - 84 years","2","Female","1951","1951","Number","16238"
"CD211","Enumerated Population","610","80 - 84 years","2","Female","1961","1961","Number","20366"
"CD211","Enumerated Population","610","80 - 84 years","2","Female","1966","1966","Number","19760"
"CD211","Enumerated Population","610","80 - 84 years","2","Female","1971","1971","Number","20712"
"CD211","Enumerated Population","610","80 - 84 years","2","Female","1979","1979","Number","23070"
"CD211","Enumerated Population","610","80 - 84 years","2","Female","1981","1981","Number","25047"
"CD211","Enumerated Population","610","80 - 84 years","2","Female","1986","1986","Number","26758"
"CD211","Enumerated Population","610","80 - 84 years","2","Female","1991","1991","Number","30336"
"CD211","Enumerated Population","610","80 - 84 years","2","Female","1996","1996","Number","34697"
"CD211","Enumerated Population","610","80 - 84 years","2","Female","2002","2002","Number","36574"
"CD211","Enumerated Population","610","80 - 84 years","2","Female","2006","2006","Number","40190"
"CD211","Enumerated Population","610","80 - 84 years","2","Female","2011","2011","Number","41690"
"CD211","Enumerated Population","630","85 years and over","-","Both sexes","1926","1926","Number","14858"
"CD211","Enumerated Population","630","85 years and over","-","Both sexes","1936","1936","Number","11505"
"CD211","Enumerated Population","630","85 years and over","-","Both sexes","1946","1946","Number","13237"
"CD211","Enumerated Population","630","85 years and over","-","Both sexes","1951","1951","Number","13285"
"CD211","Enumerated Population","630","85 years and over","-","Both sexes","1961","1961","Number","18535"
"CD211","Enumerated Population","630","85 years and over","-","Both sexes","1966","1966","Number","20297"
"CD211","Enumerated Population","630","85 years and over","-","Both sexes","1971","1971","Number","20932"
"CD211","Enumerated Population","630","85 years and over","-","Both sexes","1979","1979","Number","22461"
"CD211","Enumerated Population","630","85 years and over","-","Both sexes","1981","1981","Number","22984"
"CD211","Enumerated Population","630","85 years and over","-","Both sexes","1986","1986","Number","25458"
"CD211","Enumerated Population","630","85 years and over","-","Both sexes","1991","1991","Number","29440"
"CD211","Enumerated Population","630","85 years and over","-","Both sexes","1996","1996","Number","34663"
"CD211","Enumerated Population","630","85 years and over","-","Both sexes","2002","2002","Number","41726"
"CD211","Enumerated Population","630","85 years and over","-","Both sexes","2006","2006","Number","48028"
"CD211","Enumerated Population","630","85 years and over","-","Both sexes","2011","2011","Number","58416"
"CD211","Enumerated Population","630","85 years and over","1","Male","1926","1926","Number","6584"
"CD211","Enumerated Population","630","85 years and over","1","Male","1936","1936","Number","4883"
"CD211","Enumerated Population","630","85 years and over","1","Male","1946","1946","Number","5525"
"CD211","Enumerated Population","630","85 years and over","1","Male","1951","1951","Number","5481"
"CD211","Enumerated Population","630","85 years and over","1","Male","1961","1961","Number","7694"
"CD211","Enumerated Population","630","85 years and over","1","Male","1966","1966","Number","8092"
"CD211","Enumerated Population","630","85 years and over","1","Male","1971","1971","Number","8114"
"CD211","Enumerated Population","630","85 years and over","1","Male","1979","1979","Number","8115"
"CD211","Enumerated Population","630","85 years and over","1","Male","1981","1981","Number","7910"
"CD211","Enumerated Population","630","85 years and over","1","Male","1986","1986","Number","8009"
"CD211","Enumerated Population","630","85 years and over","1","Male","1991","1991","Number","8908"
"CD211","Enumerated Population","630","85 years and over","1","Male","1996","1996","Number","10570"
"CD211","Enumerated Population","630","85 years and over","1","Male","2002","2002","Number","12486"
"CD211","Enumerated Population","630","85 years and over","1","Male","2006","2006","Number","14845"
"CD211","Enumerated Population","630","85 years and over","1","Male","2011","2011","Number","18486"
"CD211","Enumerated Population","630","85 years and over","2","Female","1926","1926","Number","8274"
"CD211","Enumerated Population","630","85 years and over","2","Female","1936","1936","Number","6622"
"CD211","Enumerated Population","630","85 years and over","2","Female","1946","1946","Number","7712"
"CD211","Enumerated Population","630","85 years and over","2","Female","1951","1951","Number","7804"
"CD211","Enumerated Population","630","85 years and over","2","Female","1961","1961","Number","10841"
"CD211","Enumerated Population","630","85 years and over","2","Female","1966","1966","Number","12205"
"CD211","Enumerated Population","630","85 years and over","2","Female","1971","1971","Number","12818"
"CD211","Enumerated Population","630","85 years and over","2","Female","1979","1979","Number","14346"
"CD211","Enumerated Population","630","85 years and over","2","Female","1981","1981","Number","15074"
"CD211","Enumerated Population","630","85 years and over","2","Female","1986","1986","Number","17449"
"CD211","Enumerated Population","630","85 years and over","2","Female","1991","1991","Number","20532"
"CD211","Enumerated Population","630","85 years and over","2","Female","1996","1996","Number","24093"
"CD211","Enumerated Population","630","85 years and over","2","Female","2002","2002","Number","29240"
"CD211","Enumerated Population","630","85 years and over","2","Female","2006","2006","Number","33183"
"CD211","Enumerated Population","630","85 years and over","2","Female","2011","2011","Number","39930"
"CD211","Enumerated Population","320","15 years and over","-","Both sexes","1926","1926","Number","2104113"
"CD211","Enumerated Population","320","15 years and over","-","Both sexes","1936","1936","Number","2148026"
"CD211","Enumerated Population","320","15 years and over","-","Both sexes","1946","1946","Number","2132100"
"CD211","Enumerated Population","320","15 years and over","-","Both sexes","1951","1951","Number","2105783"
"CD211","Enumerated Population","320","15 years and over","-","Both sexes","1961","1961","Number","1941082"
"CD211","Enumerated Population","320","15 years and over","-","Both sexes","1966","1966","Number","1983606"
"CD211","Enumerated Population","320","15 years and over","-","Both sexes","1971","1971","Number","2047096"
"CD211","Enumerated Population","320","15 years and over","-","Both sexes","1979","1979","Number","2338309"
"CD211","Enumerated Population","320","15 years and over","-","Both sexes","1981","1981","Number","2399676"
"CD211","Enumerated Population","320","15 years and over","-","Both sexes","1986","1986","Number","2515942"
"CD211","Enumerated Population","320","15 years and over","-","Both sexes","1991","1991","Number","2585145"
"CD211","Enumerated Population","320","15 years and over","-","Both sexes","1996","1996","Number","2766663"
"CD211","Enumerated Population","320","15 years and over","-","Both sexes","2002","2002","Number","3089775"
"CD211","Enumerated Population","320","15 years and over","-","Both sexes","2006","2006","Number","3375399"
"CD211","Enumerated Population","320","15 years and over","-","Both sexes","2011","2011","Number","3608662"
"CD211","Enumerated Population","320","15 years and over","1","Male","1926","1926","Number","1065138"
"CD211","Enumerated Population","320","15 years and over","1","Male","1936","1936","Number","1104021"
"CD211","Enumerated Population","320","15 years and over","1","Male","1946","1946","Number","1075893"
"CD211","Enumerated Population","320","15 years and over","1","Male","1951","1951","Number","1070150"
"CD211","Enumerated Population","320","15 years and over","1","Male","1961","1961","Number","967809"
"CD211","Enumerated Population","320","15 years and over","1","Male","1966","1966","Number","989626"
"CD211","Enumerated Population","320","15 years and over","1","Male","1971","1971","Number","1019974"
"CD211","Enumerated Population","320","15 years and over","1","Male","1979","1979","Number","1166242"
"CD211","Enumerated Population","320","15 years and over","1","Male","1981","1981","Number","1193945"
"CD211","Enumerated Population","320","15 years and over","1","Male","1986","1986","Number","1244044"
"CD211","Enumerated Population","320","15 years and over","1","Male","1991","1991","Number","1270580"
"CD211","Enumerated Population","320","15 years and over","1","Male","1996","1996","Number","1358780"
"CD211","Enumerated Population","320","15 years and over","1","Male","2002","2002","Number","1522120"
"CD211","Enumerated Population","320","15 years and over","1","Male","2006","2006","Number","1678127"
"CD211","Enumerated Population","320","15 years and over","1","Male","2011","2011","Number","1771510"
"CD211","Enumerated Population","320","15 years and over","2","Female","1926","1926","Number","1038975"
"CD211","Enumerated Population","320","15 years and over","2","Female","1936","1936","Number","1044005"
"CD211","Enumerated Population","320","15 years and over","2","Female","1946","1946","Number","1056207"
"CD211","Enumerated Population","320","15 years and over","2","Female","1951","1951","Number","1035633"
"CD211","Enumerated Population","320","15 years and over","2","Female","1961","1961","Number","973273"
"CD211","Enumerated Population","320","15 years and over","2","Female","1966","1966","Number","993980"
"CD211","Enumerated Population","320","15 years and over","2","Female","1971","1971","Number","1027122"
"CD211","Enumerated Population","320","15 years and over","2","Female","1979","1979","Number","1172067"
"CD211","Enumerated Population","320","15 years and over","2","Female","1981","1981","Number","1205731"
"CD211","Enumerated Population","320","15 years and over","2","Female","1986","1986","Number","1271898"
"CD211","Enumerated Population","320","15 years and over","2","Female","1991","1991","Number","1314565"
"CD211","Enumerated Population","320","15 years and over","2","Female","1996","1996","Number","1407883"
"CD211","Enumerated Population","320","15 years and over","2","Female","2002","2002","Number","1567655"
"CD211","Enumerated Population","320","15 years and over","2","Female","2006","2006","Number","1697272"
"CD211","Enumerated Population","320","15 years and over","2","Female","2011","2011","Number","1837152"
